sexe,prenom,annee,nombre
1,ABEL,1959,15
1,ABEL,1960,20
1,ABEL,1961,29
1,ABEL,1962,14
1,ABEL,1963,15
1,ABEL,1965,22
1,ABEL,1966,12
1,ABEL,1967,22
1,ABEL,1968,19
1,ABEL,1969,17
1,ABEL,1970,16
1,ABEL,1971,22
1,ABEL,1973,10
1,ABEL,1974,15
1,ABEL,1980,13
1,ABEL,1981,12
1,ABEL,1985,12
1,ABEL,1988,10
1,ABEL,1991,17
1,ABEL,1992,21
1,ABEL,1993,17
1,ABEL,1994,27
1,ABEL,1995,32
1,ABEL,1996,27
1,ABEL,1997,19
1,ABEL,1998,47
1,ABEL,1999,50
1,ABEL,2000,87
1,ABEL,2001,78
1,ABEL,2002,73
1,ABEL,2003,92
1,ABEL,2004,62
1,ABEL,2005,106
1,ABEL,2006,134
1,ABEL,2007,186
1,ABEL,2008,156
1,ABEL,2009,209
1,ABEL,2010,251
1,ABEL,2011,252
1,ABEL,2012,347
1,ABEL,2013,387
1,ABEL,2014,408
1,ABEL,2015,451
1,ABEL,2016,469
1,ABEL,2017,506
1,ABEL,2018,505
1,ABEL,2019,571
1,ABEL,2020,582
1,ABEL,2021,638
1,ABEL,2022,629
1,ABILIO,1972,10
1,ABOU,1985,11
1,ABOU,2003,11
1,ABOU,2006,13
1,ABOU,2007,11
1,ABOU,2014,12
1,ABOU,2015,13
1,ABOU,2018,13
1,ABOU,2019,26
1,ABOU,2020,15
1,ABOU,2021,21
1,ABOU,2022,34
1,ABOUBACAR,1983,16
1,ABOUBACAR,1990,18
1,ABOUBACAR,1991,14
1,ABOUBACAR,1993,12
1,ABOUBACAR,1994,10
1,ABOUBACAR,1995,14
1,ABOUBACAR,1996,11
1,ABOUBACAR,1997,15
1,ABOUBACAR,1998,10
1,ABOUBACAR,1999,19
1,ABOUBACAR,2000,14
1,ABOUBACAR,2001,19
1,ABOUBACAR,2002,28
1,ABOUBACAR,2003,20
1,ABOUBACAR,2004,24
1,ABOUBACAR,2005,21
1,ABOUBACAR,2006,25
1,ABOUBACAR,2007,31
1,ABOUBACAR,2008,43
1,ABOUBACAR,2009,31
1,ABOUBACAR,2010,34
1,ABOUBACAR,2011,53
1,ABOUBACAR,2012,66
1,ABOUBACAR,2013,46
1,ABOUBACAR,2014,51
1,ABOUBACAR,2015,61
1,ABOUBACAR,2016,59
1,ABOUBACAR,2017,77
1,ABOUBACAR,2018,83
1,ABOUBACAR,2019,95
1,ABOUBACAR,2020,97
1,ABOUBACAR,2021,135
1,ABOUBACAR,2022,132
1,ABOUBAKAR,1982,14
1,ABOUBAKAR,1983,10
1,ABOUBAKAR,1985,15
1,ABOUBAKAR,1990,11
1,ABOUBAKAR,1992,14
1,ABOUBAKAR,1995,15
1,ABOUBAKAR,1997,14
1,ABOUBAKAR,1998,19
1,ABOUBAKAR,1999,10
1,ABOUBAKAR,2001,13
1,ABOUBAKAR,2002,12
1,ABOUBAKAR,2003,10
1,ABOUBAKAR,2004,20
1,ABOUBAKAR,2005,24
1,ABOUBAKAR,2006,14
1,ABOUBAKAR,2007,34
1,ABOUBAKAR,2008,16
1,ABOUBAKAR,2009,26
1,ABOUBAKAR,2010,30
1,ABOUBAKAR,2011,25
1,ABOUBAKAR,2012,31
1,ABOUBAKAR,2013,34
1,ABOUBAKAR,2014,22
1,ABOUBAKAR,2015,29
1,ABOUBAKAR,2016,21
1,ABOUBAKAR,2017,40
1,ABOUBAKAR,2018,35
1,ABOUBAKAR,2019,36
1,ABOUBAKAR,2020,47
1,ABOUBAKAR,2021,28
1,ABOUBAKAR,2022,43
1,ABRAHAM,1901,12
1,ABRAHAM,1904,13
1,ABRAHAM,1905,13
1,ABRAHAM,1906,10
1,ABRAHAM,1907,14
1,ABRAHAM,1908,10
1,ABRAHAM,1909,13
1,ABRAHAM,1910,18
1,ABRAHAM,1911,11
1,ABRAHAM,1912,10
1,ABRAHAM,1913,20
1,ABRAHAM,1917,12
1,ABRAHAM,1927,10
1,ABRAHAM,1930,10
1,ABRAHAM,1931,15
1,ABRAHAM,1985,19
1,ABRAHAM,1989,19
1,ABRAHAM,1990,11
1,ABRAHAM,1993,15
1,ABRAHAM,1994,12
1,ABRAHAM,1997,14
1,ABRAHAM,1998,14
1,ABRAHAM,1999,17
1,ABRAHAM,2003,16
1,ABRAHAM,2004,14
1,ABRAHAM,2006,13
1,ABRAHAM,2007,20
1,ABRAHAM,2008,23
1,ABRAHAM,2009,12
1,ABRAHAM,2010,15
1,ABRAHAM,2011,20
1,ABRAHAM,2013,14
1,ABRAHAM,2014,15
1,ABRAHAM,2015,25
1,ABRAHAM,2016,19
1,ABRAHAM,2017,36
1,ABRAHAM,2018,24
1,ABRAHAM,2019,46
1,ABRAHAM,2020,35
1,ABRAHAM,2021,30
1,ABRAHAM,2022,32
1,ABRIEL,2022,16
1,ACHILLE,1900,152
1,ACHILLE,1901,187
1,ACHILLE,1902,205
1,ACHILLE,1903,182
1,ACHILLE,1904,177
1,ACHILLE,1905,177
1,ACHILLE,1906,203
1,ACHILLE,1907,161
1,ACHILLE,1908,217
1,ACHILLE,1909,186
1,ACHILLE,1910,205
1,ACHILLE,1911,160
1,ACHILLE,1912,161
1,ACHILLE,1913,121
1,ACHILLE,1914,148
1,ACHILLE,1915,105
1,ACHILLE,1916,64
1,ACHILLE,1917,71
1,ACHILLE,1918,80
1,ACHILLE,1919,94
1,ACHILLE,1920,227
1,ACHILLE,1921,159
1,ACHILLE,1922,136
1,ACHILLE,1923,108
1,ACHILLE,1924,103
1,ACHILLE,1925,114
1,ACHILLE,1926,90
1,ACHILLE,1927,72
1,ACHILLE,1928,117
1,ACHILLE,1929,81
1,ACHILLE,1930,73
1,ACHILLE,1931,76
1,ACHILLE,1932,81
1,ACHILLE,1933,69
1,ACHILLE,1934,65
1,ACHILLE,1935,52
1,ACHILLE,1936,64
1,ACHILLE,1937,60
1,ACHILLE,1938,41
1,ACHILLE,1939,54
1,ACHILLE,1940,27
1,ACHILLE,1941,17
1,ACHILLE,1942,14
1,ACHILLE,1943,17
1,ACHILLE,1944,20
1,ACHILLE,1945,19
1,ACHILLE,1946,18
1,ACHILLE,1947,23
1,ACHILLE,1948,33
1,ACHILLE,1949,25
1,ACHILLE,1950,25
1,ACHILLE,1951,36
1,ACHILLE,1952,22
1,ACHILLE,1953,23
1,ACHILLE,1954,23
1,ACHILLE,1955,24
1,ACHILLE,1956,19
1,ACHILLE,1957,13
1,ACHILLE,1959,12
1,ACHILLE,1960,14
1,ACHILLE,1964,13
1,ACHILLE,1965,17
1,ACHILLE,1966,20
1,ACHILLE,1993,16
1,ACHILLE,1994,30
1,ACHILLE,1995,15
1,ACHILLE,1996,31
1,ACHILLE,1997,39
1,ACHILLE,1998,68
